date,nav,units,fund_value,cash,total_value,fund_cost,total_deposit,unrealized_gain,unrealized_gain_pct,drawdown_pct,last_peak_nav,tp_sell_cash,dip_buy_cash,note
2016-03-31,2.7281,1267.790067912438,3458.658084271922,0.003949765113874312,3458.6620340370355,3499.9960502348868,3500.0,-41.33796596296497,-1.1810860746597345,-13.162083015024189,3.1416,0.0,0.0026331767425828746,回撤 -13.16%，逢低买入 0.00 份，花费 0.00
2016-04-01,2.6873,1342.2147990202584,3606.9338294071404,300.0023698590683,3906.936199266209,3699.9976301409324,4000.0,-93.06380073379205,-2.515239468687099,-14.460784313725489,3.1416,0.0,200.00157990604555,回撤 -14.46%，逢低买入 74.42 份，花费 200.00
2016-04-05,2.7433,1385.9580819071564,3802.098806095902,180.00142191544097,3982.100228011343,3819.9985780845595,4000.0,-17.89977198865745,-0.46858059297060867,-12.678253119429586,3.1416,0.0,120.00094794362734,回撤 -12.68%，逢低买入 43.74 份，花费 120.00
2016-04-06,2.7601,1412.044299350791,3897.3834706381185,108.00085314926459,4005.384323787383,3891.999146850736,4000.0,5.384323787382527,0.13834339588022074,-12.143493761140817,3.1416,0.0,72.00056876617639,回撤 -12.14%，逢低买入 26.09 份，花费 72.00
2016-04-07,2.7108,1427.9806802197986,3870.97002793983,64.80051188955875,3935.770539829389,3935.199488110442,4000.0,-64.22946017061213,-1.6321779966853238,-13.712757830404893,3.1416,0.0,43.20034125970584,回撤 -13.71%，逢低买入 15.94 份，花费 43.20
2016-04-08,2.6832,1437.6408638646344,3857.477965921587,38.88030713373524,3896.358273055322,3961.1196928662653,4000.0,-103.64172694467834,-2.6164755165396985,-14.591291061879302,3.1416,0.0,25.9202047558235,回撤 -14.59%，逢低买入 9.66 份，花费 25.92
2016-04-11,2.7284,1443.340952874125,3938.011455821763,23.328184280241146,3961.339640102004,3976.6718157197593,4000.0,-38.660359897996386,-0.9721787889353158,-13.152533740769028,3.1416,0.0,15.552122853494097,回撤 -13.15%，逢低买入 5.70 份，花费 15.55
2016-04-12,2.7046,1446.791102142814,3912.991214855455,13.996910568144687,3926.9881254235997,3986.0030894318556,4000.0,-73.01187457640071,-1.8317064221545158,-13.910109498344788,3.1416,0.0,9.33127371209646,回撤 -13.91%，逢低买入 3.45 份，花费 9.33
2016-04-13,2.7314,1448.8408803617706,3957.36398062014,8.398146340886811,3965.7621269610268,3991.6018536591137,4000.0,-34.2378730389737,-0.8577476986485447,-13.057040998217474,3.1416,0.0,5.598764227257875,回撤 -13.06%，逢低买入 2.05 份，花费 5.60
2016-04-14,2.7554,1450.060034944174,3995.495420285177,5.038887804532086,4000.5343080897087,3994.9611121954686,4000.0,0.5343080897082473,0.013374550457504034,-12.293099057804943,3.1416,0.0,3.3592585363547247,回撤 -12.29%，逢低买入 1.22 份，花费 3.36
